#time[sec] output_ch0 output_ch1
3.160000000000000238e-06 6.706995736963587973e-01 2.760080550190776444e-03
3.170000000000000142e-06 6.762197347967402461e-01 8.280241650572329332e-03
3.180000000000000047e-06 6.872600569975033657e-01 1.794052357624004862e-02
3.189999999999999951e-06 6.983003791982664854e-01 2.898084577700315093e-02
3.199999999999999855e-06 7.107207416741249117e-01 4.002116797776626017e-02
3.210000000000000183e-06 7.203810235997927247e-01 4.554132907814781306e-02
3.220000000000000087e-06 7.272812249752695912e-01 5.382157072872014586e-02
3.229999999999999991e-06 7.383215471760327109e-01 6.348185265438786862e-02
3.239999999999999896e-06 7.493618693767958305e-01 7.728225540534174043e-02
3.250000000000000224e-06 7.604021915775589502e-01 8.556249705591406629e-02
3.260000000000000128e-06 7.686824332281313454e-01 9.108265815629562612e-02
3.270000000000000032e-06 7.797227554288943541e-01 9.936289980686796586e-02
3.279999999999999936e-06 7.893830373545621670e-01 1.104032220076310716e-01
3.290000000000000264e-06 7.962832387300390335e-01 1.214435442083941635e-01
3.300000000000000168e-06 8.087036012058975709e-01 1.297237858589665171e-01
3.310000000000000073e-06 8.156038025813744374e-01 1.352439469593480492e-01
3.319999999999999977e-06 8.280241650572329748e-01 1.518044302604927009e-01
3.329999999999999881e-06 8.404445275330915122e-01 1.587046316359696507e-01
3.340000000000000209e-06 8.528648900089499385e-01 1.669848732865419905e-01
3.350000000000000113e-06 8.583850511093314983e-01 1.780251954873050824e-01
3.360000000000000017e-06 8.666652927599038936e-01 1.890655176880682020e-01
3.369999999999999922e-06 8.832257760610485731e-01 1.959657190635451518e-01
3.380000000000000249e-06 8.901259774365254396e-01 2.083860815394036337e-01
3.390000000000000154e-06 8.887459371614300219e-01 2.152862829148805834e-01
3.400000000000000058e-06 9.301471454142917761e-01 2.277066453907390930e-01
3.409999999999999962e-06 9.025463399123838659e-01 2.346068467662159873e-01
3.419999999999999866e-06 9.342872662395779182e-01 2.456471689669791070e-01
3.430000000000000194e-06 9.881088369682979877e-01 2.539274106175514745e-01
3.440000000000000098e-06 6.113578418672570569e-01 2.760080550190776583e-01
